gene	chr	coord	expression_breadth
ENSMUSG00000029387	chr5	124560000	32
ENSMUSG00000026687	chr1	167340000	32
ENSMUSG00000000605	chr7	7300000	32
ENSMUSG00000027654	chr2	158760000	32
ENSMUSG00000005958	chr16	21200000	32
ENSMUSG00000090662	chr7	8480000	1
ENSMUSG00000022965	chr16	91540000	32
ENSMUSG00000031781	chr8	94820000	32
ENSMUSG00000028271	chr3	142760000	32
ENSMUSG00000047875	chr4	150080000	23
ENSMUSG00000062580	chr1	135300000	32
ENSMUSG00000041161	chr4	138900000	32
ENSMUSG00000019845	chr10	39120000	32
ENSMUSG00000037058	chr18	35580000	32
ENSMUSG00000071650	chr19	8880000	32
ENSMUSG00000022993	chr15	98560000	30
ENSMUSG00000094511	chrY	3340000	1
ENSMUSG00000042118	chr13	93660000	25
ENSMUSG00000032113	chr9	36720000	32
ENSMUSG00000044748	chr8	21760000	23
ENSMUSG00000021242	chr12	84760000	32
ENSMUSG00000056737	chr6	72540000	32
ENSMUSG00000039032	chr6	30900000	16
ENSMUSG00000053461	chr1	183400000	31
ENSMUSG00000062421	chr11	103960000	32
ENSMUSG00000000056	chr11	121220000	32
ENSMUSG00000028218	chr4	12160000	32
ENSMUSG00000039021	chr2	32760000	32
ENSMUSG00000032633	chr11	59800000	32
ENSMUSG00000042655	chr13	104860000	20
ENSMUSG00000056529	chr4	132560000	22
ENSMUSG00000075000	chr10	67280000	23
ENSMUSG00000022548	chr16	31300000	32
ENSMUSG00000021871	chr14	50940000	32
ENSMUSG00000038963	chr2	180440000	32
ENSMUSG00000050534	chr1	121520000	17
ENSMUSG00000051297	chr16	92460000	14
ENSMUSG00000022174	chr14	54240000	32
ENSMUSG00000070841	chr7	7680000	1
ENSMUSG00000049349	chr3	138060000	14
ENSMUSG00000022895	chr16	95700000	32
ENSMUSG00000030917	chr7	120100000	32
ENSMUSG00000040712	chr11	70680000	32
ENSMUSG00000025486	chr7	140880000	32
ENSMUSG00000036572	chrX	37100000	32
ENSMUSG00000041945	chr1	40780000	32
ENSMUSG00000059136	chr7	140640000	4
ENSMUSG00000035208	chr11	83020000	31
ENSMUSG00000030173	chr6	129900000	14
ENSMUSG00000031737	chr8	92340000	25
ENSMUSG00000017144	chr2	51140000	32
ENSMUSG00000064030	chr10	128740000	32
ENSMUSG00000032014	chr9	43220000	32
ENSMUSG00000053475	chr2	52020000	31
ENSMUSG00000091376	chr3	60000000	2
ENSMUSG00000078566	chr7	138900000	23
ENSMUSG00000000486	chr7	127220000	32
ENSMUSG00000037296	chr8	25780000	32
ENSMUSG00000031353	chrX	162760000	32
ENSMUSG00000034320	chr18	61200000	32
ENSMUSG00000027582	chr2	181360000	23
ENSMUSG00000025153	chr11	120820000	10
ENSMUSG00000022057	chr14	68580000	25
ENSMUSG00000037197	chr2	11600000	32
ENSMUSG00000044197	chr5	139360000	32
ENSMUSG00000027870	chr3	98880000	23
ENSMUSG00000051081	chr1	166640000	0
ENSMUSG00000067713	chr15	98820000	32
ENSMUSG00000035861	chr5	86660000	2
ENSMUSG00000026188	chr1	72280000	25
ENSMUSG00000024013	chr17	29360000	32
ENSMUSG00000038775	chr9	119040000	32
ENSMUSG00000008450	chr8	105860000	32
ENSMUSG00000051224	chrX	166500000	31
ENSMUSG00000040124	chr1	163400000	32
ENSMUSG00000003531	chr16	18040000	23
ENSMUSG00000078616	chr7	104400000	8
ENSMUSG00000002108	chr2	91200000	32
ENSMUSG00000086147	chr4	146960000	5
ENSMUSG00000090315	chr17	20040000	0
ENSMUSG00000040734	chr7	19340000	32
ENSMUSG00000004707	chr1	171600000	32
ENSMUSG00000044148	chrX	12660000	32
ENSMUSG00000014778	chr8	105340000	32
ENSMUSG00000016495	chr19	29360000	32
ENSMUSG00000032482	chr9	110240000	32
ENSMUSG00000027902	chr3	106400000	5
ENSMUSG00000037905	chr5	125440000	32
ENSMUSG00000031340	chrX	72260000	30
ENSMUSG00000036282	chr14	49160000	32
ENSMUSG00000006675	chr9	108580000	32
ENSMUSG00000040097	chr17	23760000	32
ENSMUSG00000031162	chrX	7960000	25
ENSMUSG00000052026	chr18	61000000	31
ENSMUSG00000056306	chr3	54900000	19
ENSMUSG00000009654	chr10	59440000	29
ENSMUSG00000079169	chr2	111140000	1
ENSMUSG00000020926	chr11	102760000	32
ENSMUSG00000029153	chr5	73340000	32
ENSMUSG00000025185	chr19	42600000	32
ENSMUSG00000057367	chr9	7820000	32
ENSMUSG00000020346	chr11	49240000	32
ENSMUSG00000011958	chr9	69980000	32
ENSMUSG00000057572	chr4	129320000	32
ENSMUSG00000046275	chr11	76660000	30
ENSMUSG00000091805	chr17	20480000	0
ENSMUSG00000048495	chr1	57400000	32
ENSMUSG00000029097	chr5	35560000	32
ENSMUSG00000033191	chr4	118480000	32
ENSMUSG00000005410	chr8	75100000	32
ENSMUSG00000020459	chr11	29520000	32
ENSMUSG00000035399	chr2	163420000	23
ENSMUSG00000062778	chr3	106100000	29
ENSMUSG00000010064	chr9	107660000	31
ENSMUSG00000063409	chr5	123480000	10
ENSMUSG00000070287	chr9	100560000	23
ENSMUSG00000025777	chr1	17140000	21
ENSMUSG00000057778	chr11	72780000	32
ENSMUSG00000026638	chr1	193140000	32
ENSMUSG00000068999	chr3	64500000	2
ENSMUSG00000000120	chr11	95580000	32
ENSMUSG00000068452	chr2	122280000	17
ENSMUSG00000020890	chr11	69220000	19
ENSMUSG00000030934	chr7	132560000	32
ENSMUSG00000025228	chr19	46380000	32
ENSMUSG00000048905	chr17	28900000	29
ENSMUSG00000028701	chr4	116140000	32
ENSMUSG00000090210	chr3	96640000	32
ENSMUSG00000078622	chr11	106200000	32
ENSMUSG00000024937	chr19	5720000	32
ENSMUSG00000047547	chr13	54600000	32
ENSMUSG00000021484	chr13	55360000	32
ENSMUSG00000022439	chr15	84320000	32
ENSMUSG00000041046	chr11	6640000	32
ENSMUSG00000031641	chr8	61480000	32
ENSMUSG00000024905	chr19	3380000	30
ENSMUSG00000034949	chr10	81220000	32
ENSMUSG00000010911	chr2	103060000	32
ENSMUSG00000026005	chr1	66700000	32
ENSMUSG00000038936	chr1	179660000	32
ENSMUSG00000055235	chr5	24720000	32
ENSMUSG00000055720	chr9	57900000	32
ENSMUSG00000063765	chr15	81680000	32
ENSMUSG00000035601	chr4	45280000	32
ENSMUSG00000055065	chr15	79540000	32
ENSMUSG00000050468	chr2	127320000	12
ENSMUSG00000058260	chr12	104000000	27
ENSMUSG00000013495	chr5	108620000	32
ENSMUSG00000029377	chr5	91060000	19
ENSMUSG00000059981	chr7	126880000	32
ENSMUSG00000030282	chr6	142740000	32
ENSMUSG00000067860	chrX	58020000	17
ENSMUSG00000028037	chr3	151740000	31
ENSMUSG00000037344	chr5	137320000	32
ENSMUSG00000074793	chr2	131120000	32
ENSMUSG00000035279	chr7	4920000	32
ENSMUSG00000029235	chr5	76320000	12
ENSMUSG00000026311	chr1	91540000	32
ENSMUSG00000034660	chr7	6180000	2
ENSMUSG00000029208	chr5	69540000	32
ENSMUSG00000048439	chr5	24160000	32
ENSMUSG00000025077	chr19	56540000	32
ENSMUSG00000046733	chr6	135060000	27
ENSMUSG00000033111	chr14	12280000	32
ENSMUSG00000035329	chr12	59200000	32
ENSMUSG00000054708	chr10	81620000	32
ENSMUSG00000029310	chr5	104040000	32
ENSMUSG00000035722	chr10	79980000	32
ENSMUSG00000000711	chr10	128680000	23
ENSMUSG00000037363	chr8	25580000	32
ENSMUSG00000018042	chr15	83160000	32
ENSMUSG00000000489	chr15	80000000	32
ENSMUSG00000030589	chr7	29120000	32
ENSMUSG00000028011	chr3	81960000	30
ENSMUSG00000021336	chr13	23900000	11
ENSMUSG00000091382	chr6	57380000	1
ENSMUSG00000051452	chr11	84160000	9
ENSMUSG00000030413	chr7	18860000	31
ENSMUSG00000020447	chr11	6220000	32
ENSMUSG00000022664	chr16	45140000	32
ENSMUSG00000002249	chr17	28340000	32
ENSMUSG00000027171	chr2	104840000	31
ENSMUSG00000024454	chr18	37940000	32
ENSMUSG00000053550	chr7	4840000	32
ENSMUSG00000028016	chr3	133080000	32
ENSMUSG00000041035	chr19	45560000	32
ENSMUSG00000005640	chr3	87780000	29
ENSMUSG00000059363	chr19	24280000	32
ENSMUSG00000048307	chr15	36480000	32
ENSMUSG00000057191	chr9	21520000	31
ENSMUSG00000095346	chr5	67940000	0
ENSMUSG00000014601	chr3	107620000	32
ENSMUSG00000051427	chr11	4160000	32
ENSMUSG00000048379	chr14	47260000	32
ENSMUSG00000004360	chr10	29200000	24
ENSMUSG00000023216	chr2	121020000	25
ENSMUSG00000029848	chr6	34920000	12
ENSMUSG00000003123	chr7	25380000	32
ENSMUSG00000001783	chr10	85940000	32
ENSMUSG00000031150	chrX	7740000	32
ENSMUSG00000037907	chr11	77480000	32
ENSMUSG00000029199	chr5	65380000	32
ENSMUSG00000024769	chr19	6300000	32
ENSMUSG00000072553	chr11	89060000	21
ENSMUSG00000032966	chr2	151540000	32
ENSMUSG00000025647	chr9	109020000	32
ENSMUSG00000052303	chr7	47200000	2
ENSMUSG00000026646	chr2	3460000	32
ENSMUSG00000074061	chr9	109480000	11
ENSMUSG00000031410	chrX	135580000	26
ENSMUSG00000046240	chr9	37360000	30
ENSMUSG00000029993	chr6	87000000	32
ENSMUSG00000033047	chr15	79060000	32
ENSMUSG00000036898	chr5	138440000	32
ENSMUSG00000020792	chr11	116300000	32
ENSMUSG00000029209	chr5	69580000	32
ENSMUSG00000023949	chr17	45520000	27
ENSMUSG00000000339	chr3	116500000	32
ENSMUSG00000034620	chr10	122080000	32
ENSMUSG00000046962	chr16	97960000	32
ENSMUSG00000049969	chr4	11000000	32
ENSMUSG00000040521	chr10	127020000	32
ENSMUSG00000023039	chr15	101400000	32
ENSMUSG00000031311	chrX	101420000	32
ENSMUSG00000073176	chrX	56340000	31
ENSMUSG00000053490	chr8	65000000	11
ENSMUSG00000026327	chr1	107360000	15
ENSMUSG00000021790	chr14	41060000	15
ENSMUSG00000063511	chr7	45380000	32
ENSMUSG00000031568	chr8	47520000	32
ENSMUSG00000037542	chr10	21360000	26
ENSMUSG00000047655	chr7	11820000	0
ENSMUSG00000048473	chr6	142800000	8
ENSMUSG00000028469	chr4	43620000	32
ENSMUSG00000031922	chr9	13820000	32
ENSMUSG00000035062	chrX	95640000	32
ENSMUSG00000039682	chr5	45480000	32
ENSMUSG00000028568	chr4	108820000	32
ENSMUSG00000085601	chr7	19100000	14
ENSMUSG00000094747	chr2	111940000	0
ENSMUSG00000055150	chr7	6360000	30
ENSMUSG00000033883	chr3	36140000	31
ENSMUSG00000022124	chr14	103080000	32
ENSMUSG00000024966	chr19	7040000	32
ENSMUSG00000029680	chr6	24740000	10
ENSMUSG00000086228	chr9	65360000	23
ENSMUSG00000029110	chr5	34320000	32
ENSMUSG00000022412	chr15	80220000	32
ENSMUSG00000096240	chr2	67400000	0
ENSMUSG00000032717	chr17	47820000	32
ENSMUSG00000050650	chr7	47340000	12
ENSMUSG00000031444	chr8	13020000	28
ENSMUSG00000054764	chr8	45060000	15
ENSMUSG00000039065	chr15	31600000	32
ENSMUSG00000052752	chr17	24520000	32
ENSMUSG00000037798	chr14	41100000	23
ENSMUSG00000031971	chr8	123860000	10
ENSMUSG00000002617	chr17	23180000	32
ENSMUSG00000031728	chr8	109700000	32
ENSMUSG00000041653	chr15	84160000	32
ENSMUSG00000030002	chr6	85960000	32
ENSMUSG00000024989	chr19	38040000	31
ENSMUSG00000039405	chr7	89520000	32
ENSMUSG00000059920	chr16	64760000	32
ENSMUSG00000069998	chr8	72040000	1
ENSMUSG00000023050	chr15	102500000	32
ENSMUSG00000014599	chr3	107760000	32
ENSMUSG00000093550	chr15	100360000	3
ENSMUSG00000022209	chr14	55220000	18
ENSMUSG00000031962	chr8	122840000	10
ENSMUSG00000036941	chr18	73740000	32
ENSMUSG00000049897	chr2	26920000	23
ENSMUSG00000022550	chr15	76560000	32
ENSMUSG00000020331	chr10	79700000	32
ENSMUSG00000026295	chr1	88400000	24
ENSMUSG00000020283	chr11	23660000	32
ENSMUSG00000027531	chr3	10320000	32
ENSMUSG00000017176	chr11	100440000	32
ENSMUSG00000069873	chr11	58260000	20
ENSMUSG00000019810	chr10	13480000	32
ENSMUSG00000029571	chr6	13060000	32
ENSMUSG00000062064	chr4	150140000	7
ENSMUSG00000018666	chr11	96780000	32
ENSMUSG00000006024	chr7	16080000	32
ENSMUSG00000028332	chr4	46400000	15
ENSMUSG00000033429	chr7	64380000	32
ENSMUSG00000004837	chr11	61640000	32
ENSMUSG00000032690	chr5	120740000	31
ENSMUSG00000030701	chr7	100660000	32
ENSMUSG00000038215	chr8	56540000	32
ENSMUSG00000031432	chrX	140440000	32
ENSMUSG00000094992	chr9	109660000	3
ENSMUSG00000037253	chr18	73560000	32
ENSMUSG00000074358	chr7	18900000	32
ENSMUSG00000052396	chr7	99220000	28
ENSMUSG00000024592	chr18	56960000	32
ENSMUSG00000026471	chr1	155140000	32
ENSMUSG00000003341	chr10	80520000	21
ENSMUSG00000028646	chr4	123900000	32
ENSMUSG00000020739	chr11	115560000	32
ENSMUSG00000016619	chr15	84920000	32
ENSMUSG00000032679	chr2	104080000	32
ENSMUSG00000020493	chr11	87100000	32
ENSMUSG00000029034	chr4	155860000	32
ENSMUSG00000030826	chr7	45560000	32
ENSMUSG00000057286	chr11	116680000	32
ENSMUSG00000035355	chr11	100740000	19
ENSMUSG00000048012	chr7	44740000	30
ENSMUSG00000028792	chr4	128980000	32
ENSMUSG00000057842	chr13	67320000	31
ENSMUSG00000028673	chr4	135920000	32
ENSMUSG00000031935	chr9	15260000	32
ENSMUSG00000061577	chr8	94920000	28
ENSMUSG00000001323	chr11	74920000	32
ENSMUSG00000029624	chr5	145160000	32
ENSMUSG00000051378	chr11	102920000	31
ENSMUSG00000027589	chr2	181820000	32
ENSMUSG00000027374	chr2	127580000	32
ENSMUSG00000027547	chr2	168760000	25
ENSMUSG00000031590	chr8	41400000	32
ENSMUSG00000021965	chr14	57820000	32
ENSMUSG00000028607	chr4	107920000	32
ENSMUSG00000038148	chr16	26460000	12
ENSMUSG00000019590	chr11	105940000	32
ENSMUSG00000024737	chr19	10820000	32
ENSMUSG00000017009	chr2	164440000	32
ENSMUSG00000042002	chr5	114260000	14
ENSMUSG00000074824	chr13	67100000	20
ENSMUSG00000073489	chr1	173760000	31
ENSMUSG00000027282	chr2	90840000	32
ENSMUSG00000095664	chr7	85140000	0
ENSMUSG00000039328	chr8	31100000	31
ENSMUSG00000048236	chr7	107800000	3
ENSMUSG00000028978	chr5	24360000	32
ENSMUSG00000019975	chr10	91080000	32
ENSMUSG00000022969	chr16	91400000	32
ENSMUSG00000055446	chr7	98560000	2
ENSMUSG00000034826	chr5	92420000	32
ENSMUSG00000022456	chr15	82260000	32
ENSMUSG00000035875	chr2	35100000	22
ENSMUSG00000055553	chr8	70520000	32
ENSMUSG00000019732	chr8	72440000	30
ENSMUSG00000023284	chr5	110100000	22
ENSMUSG00000024034	chr17	31180000	17
ENSMUSG00000038074	chr6	54580000	32
ENSMUSG00000036966	chr15	102120000	32
ENSMUSG00000026675	chr1	169960000	32
ENSMUSG00000092243	chr17	36120000	23
ENSMUSG00000074818	chr19	45040000	23
ENSMUSG00000054894	chr12	69720000	32
ENSMUSG00000026664	chr2	4900000	32
ENSMUSG00000031400	chrX	74420000	32
ENSMUSG00000028023	chr3	129180000	27
ENSMUSG00000006464	chr19	4900000	32
ENSMUSG00000020359	chr11	51580000	32
ENSMUSG00000053040	chr9	66820000	23
ENSMUSG00000027962	chr3	116120000	32
ENSMUSG00000041712	chr12	102740000	32
ENSMUSG00000079344	chr19	33500000	9
ENSMUSG00000021271	chr12	110840000	32
ENSMUSG00000040018	chr19	43740000	32
ENSMUSG00000020109	chr10	59860000	32
ENSMUSG00000017999	chr2	167000000	32
ENSMUSG00000070814	chr7	13260000	32
ENSMUSG00000040866	chr7	19040000	16
ENSMUSG00000021368	chr13	43160000	32
ENSMUSG00000043230	chr1	80200000	22
ENSMUSG00000022296	chr15	38920000	21
ENSMUSG00000040731	chr5	134620000	32
ENSMUSG00000041324	chr13	16000000	31
ENSMUSG00000031756	chr8	116920000	32
ENSMUSG00000036892	chr7	30480000	26
ENSMUSG00000031358	chrX	168660000	32
ENSMUSG00000055313	chr13	21440000	32
ENSMUSG00000061559	chr9	54720000	32
ENSMUSG00000033781	chr13	3620000	32
ENSMUSG00000026560	chr1	166680000	0
ENSMUSG00000024026	chr17	30600000	32
ENSMUSG00000032902	chr3	104620000	32
ENSMUSG00000020740	chr11	115600000	32
ENSMUSG00000032773	chr19	8660000	29
ENSMUSG00000040253	chr3	142520000	31
ENSMUSG00000041620	chr9	7380000	10
ENSMUSG00000054203	chr1	174020000	20
ENSMUSG00000006154	chr7	4460000	32
ENSMUSG00000009630	chr8	33580000	32
ENSMUSG00000038079	chr1	59120000	32
ENSMUSG00000042248	chr19	39980000	16
ENSMUSG00000086784	chr7	4860000	23
ENSMUSG00000022526	chr15	76860000	32
ENSMUSG00000020180	chr10	75500000	32
ENSMUSG00000020186	chr10	110900000	32
ENSMUSG00000026944	chr2	25420000	32
ENSMUSG00000027744	chr3	53480000	22
ENSMUSG00000035151	chr8	83320000	32
ENSMUSG00000020312	chr10	79620000	32
ENSMUSG00000006307	chr7	30580000	32
ENSMUSG00000073130	chrX	71920000	22
ENSMUSG00000036646	chr2	25320000	32
ENSMUSG00000039834	chr2	164900000	32
ENSMUSG00000005362	chr6	106800000	32
ENSMUSG00000003200	chr17	56020000	32
ENSMUSG00000028859	chr4	126020000	32
ENSMUSG00000039345	chr16	8460000	32
ENSMUSG00000096278	chr17	23880000	2
ENSMUSG00000061561	chr8	72080000	0
ENSMUSG00000067610	chr6	129700000	10
ENSMUSG00000021832	chr14	45320000	32
ENSMUSG00000091407	chr17	23460000	0
ENSMUSG00000033763	chr8	110720000	32
ENSMUSG00000079388	chr14	4320000	19
ENSMUSG00000027574	chr2	180940000	32
ENSMUSG00000027411	chr2	130420000	32
ENSMUSG00000025981	chr1	55040000	32
ENSMUSG00000023150	chr1	151340000	32
ENSMUSG00000030824	chr7	45500000	32
ENSMUSG00000063380	chr9	39260000	0
ENSMUSG00000091041	chr8	110100000	0
ENSMUSG00000095954	chr5	94860000	1
ENSMUSG00000030738	chr7	126560000	32
ENSMUSG00000000326	chr16	18420000	32
ENSMUSG00000070337	chr11	97340000	28
ENSMUSG00000029659	chr5	149400000	23
ENSMUSG00000023873	chr17	8980000	32
ENSMUSG00000056234	chr14	32140000	23
ENSMUSG00000056290	chr19	11440000	31
ENSMUSG00000026435	chr1	131960000	32
ENSMUSG00000040809	chr3	106160000	30
ENSMUSG00000029017	chr5	21720000	32
ENSMUSG00000035638	chr16	32780000	24
ENSMUSG00000028617	chr4	107240000	32
ENSMUSG00000089824	chr2	156100000	32
ENSMUSG00000026875	chr2	34960000	32
ENSMUSG00000028681	chr4	117080000	32
ENSMUSG00000033703	chr8	110900000	32
ENSMUSG00000070730	chr2	119140000	32
ENSMUSG00000063522	chr15	74880000	26
ENSMUSG00000020385	chr11	51260000	32
ENSMUSG00000063047	chr7	27960000	23
ENSMUSG00000032320	chr9	56040000	32
ENSMUSG00000030683	chr7	126940000	32
ENSMUSG00000021792	chr14	41000000	32
ENSMUSG00000034586	chr11	115360000	32
ENSMUSG00000050855	chr7	29840000	32
ENSMUSG00000040621	chrX	166160000	32
ENSMUSG00000037613	chr7	143680000	32
ENSMUSG00000016757	chr15	83580000	32
ENSMUSG00000025955	chr1	65020000	25
ENSMUSG00000019232	chr3	130600000	20
ENSMUSG00000015957	chr7	98820000	32
ENSMUSG00000028558	chr4	109220000	16
ENSMUSG00000024601	chr18	58640000	32
ENSMUSG00000039850	chr11	119480000	32
ENSMUSG00000021791	chr14	41060000	20
ENSMUSG00000032370	chr9	66960000	32
ENSMUSG00000031998	chr9	8220000	10
ENSMUSG00000094620	chrX	123780000	20
ENSMUSG00000040848	chr1	165180000	32
ENSMUSG00000022994	chr15	98600000	32
ENSMUSG00000006288	chr14	50780000	32
ENSMUSG00000029817	chr6	49260000	32
ENSMUSG00000029283	chr5	106960000	32
ENSMUSG00000032244	chr9	62800000	32
ENSMUSG00000027357	chr2	132840000	32
ENSMUSG00000019923	chr10	72640000	32
ENSMUSG00000029883	chr6	40940000	12
ENSMUSG00000034520	chr11	102800000	32
ENSMUSG00000033597	chr17	24480000	32
ENSMUSG00000027229	chr2	122180000	11
ENSMUSG00000057396	chr13	67120000	29
ENSMUSG00000030166	chr6	119900000	32
ENSMUSG00000073012	chrX	106240000	1
ENSMUSG00000039176	chr7	79460000	32
ENSMUSG00000095074	chr5	94520000	1
ENSMUSG00000019254	chr7	4500000	32
ENSMUSG00000027961	chr3	116560000	32
ENSMUSG00000001228	chr17	56300000	32
ENSMUSG00000027465	chr2	152280000	32
ENSMUSG00000036599	chr5	140500000	32
ENSMUSG00000026535	chr1	173980000	23
ENSMUSG00000020664	chr12	31340000	32
ENSMUSG00000044303	chr4	89280000	31
ENSMUSG00000044934	chr13	64140000	32
ENSMUSG00000027091	chr2	83640000	32
ENSMUSG00000044641	chr2	168080000	32
ENSMUSG00000017167	chr11	101160000	32
ENSMUSG00000024565	chr18	80980000	16
ENSMUSG00000020622	chr12	10360000	18
ENSMUSG00000020453	chr11	3280000	32
ENSMUSG00000022780	chr16	31860000	29
ENSMUSG00000048775	chr1	106980000	2
ENSMUSG00000020257	chr9	106160000	32
ENSMUSG00000004609	chr7	43540000	32
ENSMUSG00000005667	chr6	83320000	32
ENSMUSG00000045414	chr9	94520000	32
ENSMUSG00000024858	chr19	4300000	32
ENSMUSG00000027481	chr2	153860000	16
ENSMUSG00000009941	chrX	134960000	15
ENSMUSG00000020553	chr11	90000000	32
ENSMUSG00000028107	chr3	95760000	32
ENSMUSG00000089996	chrX	136960000	19
ENSMUSG00000042477	chr4	126720000	21
ENSMUSG00000037847	chr19	18620000	32
ENSMUSG00000053868	chr14	59160000	14
ENSMUSG00000034285	chr11	4860000	32
ENSMUSG00000032051	chr9	51960000	32
ENSMUSG00000020612	chr11	109640000	32
ENSMUSG00000029480	chr5	125420000	32
ENSMUSG00000058093	chr13	67600000	31
ENSMUSG00000026873	chr2	34900000	32
ENSMUSG00000052135	chr4	120280000	23
ENSMUSG00000033256	chr2	122360000	32
ENSMUSG00000037379	chr5	33200000	30
ENSMUSG00000094132	chr14	4840000	20
ENSMUSG00000090298	chr10	33780000	1
ENSMUSG00000025432	chr10	127000000	30
ENSMUSG00000072640	chr11	78820000	32
ENSMUSG00000021238	chr12	84440000	32
ENSMUSG00000032375	chr9	66780000	32
ENSMUSG00000059486	chr6	56780000	32
ENSMUSG00000001134	chrX	20960000	23
ENSMUSG00000044906	chr18	70460000	32
ENSMUSG00000062526	chr18	67240000	23
ENSMUSG00000063897	chrGL456216.1	0	9
ENSMUSG00000018765	chr11	69620000	32
ENSMUSG00000068206	chr15	79220000	32
ENSMUSG00000066595	chr1	191020000	32
ENSMUSG00000050428	chr7	19100000	32
ENSMUSG00000079525	chrX	76600000	10
ENSMUSG00000019948	chr10	89720000	32
ENSMUSG00000022468	chr15	97720000	32
ENSMUSG00000091813	chr8	105000000	7
ENSMUSG00000046658	chr5	143260000	32
ENSMUSG00000078938	chr15	89400000	22
ENSMUSG00000031621	chr8	74860000	19
ENSMUSG00000041515	chr8	120720000	10
ENSMUSG00000029598	chr5	120500000	32
ENSMUSG00000068739	chr3	108440000	32
ENSMUSG00000040620	chr11	71000000	32
ENSMUSG00000026989	chr2	59480000	28
ENSMUSG00000031937	chr9	15220000	31
ENSMUSG00000027298	chr2	119780000	32
ENSMUSG00000062028	chr7	24440000	27
ENSMUSG00000026317	chr8	14880000	32
ENSMUSG00000091649	chr14	59340000	22
ENSMUSG00000078920	chr11	49060000	31
ENSMUSG00000039110	chr11	94520000	31
ENSMUSG00000032451	chr9	97360000	10
ENSMUSG00000063145	chr2	69640000	32
ENSMUSG00000078677	chr7	66360000	0
ENSMUSG00000062044	chr7	45780000	32
ENSMUSG00000047992	chr18	84720000	17
ENSMUSG00000029319	chr5	100660000	23
ENSMUSG00000094429	chr1	116800000	0
ENSMUSG00000071716	chr15	77680000	19
ENSMUSG00000095474	chrX	123580000	21
ENSMUSG00000075229	chr16	36060000	32
ENSMUSG00000059142	chr17	22860000	32
ENSMUSG00000023104	chr5	134580000	32
ENSMUSG00000029036	chr4	155760000	32
ENSMUSG00000056383	chr7	41380000	29
ENSMUSG00000036622	chr4	140980000	32
ENSMUSG00000034158	chr16	37860000	32
ENSMUSG00000002781	chr7	45880000	32
ENSMUSG00000029009	chr4	148020000	32
ENSMUSG00000026315	chr1	107580000	31
ENSMUSG00000053730	chr4	129680000	32
ENSMUSG00000030727	chr7	126420000	32
ENSMUSG00000079371	chr14	6120000	4
ENSMUSG00000021803	chr14	37080000	28
ENSMUSG00000024965	chr19	7000000	32
ENSMUSG00000025433	chr17	40240000	12
ENSMUSG00000029413	chr5	92260000	32
ENSMUSG00000033365	chr4	117900000	32
ENSMUSG00000023034	chr15	101240000	32
ENSMUSG00000052549	chrX	134180000	13
ENSMUSG00000020079	chr10	62440000	32
ENSMUSG00000060288	chr4	119320000	32
ENSMUSG00000090015	chr5	109920000	23
ENSMUSG00000002546	chr2	32280000	32
ENSMUSG00000039367	chr14	20660000	32
ENSMUSG00000028452	chr4	43000000	32
ENSMUSG00000030541	chr7	80100000	32
ENSMUSG00000024274	chr18	23980000	23
ENSMUSG00000027618	chr2	156140000	32
ENSMUSG00000035183	chr2	125060000	23
ENSMUSG00000051379	chr2	140660000	32
ENSMUSG00000020898	chr11	69000000	32
ENSMUSG00000021400	chr13	32800000	32
ENSMUSG00000026568	chr1	165460000	32
ENSMUSG00000035704	chr7	97360000	32
ENSMUSG00000063796	chr19	8580000	22
ENSMUSG00000028589	chr4	144420000	12
ENSMUSG00000079614	chr18	67760000	32
ENSMUSG00000016327	chrX	38300000	11
ENSMUSG00000044726	chr15	34440000	11
ENSMUSG00000054626	chrX	53780000	15
ENSMUSG00000031823	chr8	120100000	10
ENSMUSG00000063683	chr19	12620000	17
ENSMUSG00000007564	chr17	20940000	32
ENSMUSG00000022948	chr16	93600000	32
ENSMUSG00000044703	chr14	59280000	20
ENSMUSG00000074364	chr7	15960000	32
ENSMUSG00000035491	chrX	85240000	13
ENSMUSG00000032323	chr9	58000000	31
ENSMUSG00000042787	chr9	119440000	32
ENSMUSG00000035200	chr9	55040000	29
ENSMUSG00000027901	chr3	106480000	31
ENSMUSG00000030208	chr6	135360000	32
ENSMUSG00000038179	chr1	171640000	28
ENSMUSG00000063929	chr4	115600000	10
ENSMUSG00000047417	chr10	80560000	32
ENSMUSG00000016496	chr19	29360000	32
ENSMUSG00000021771	chr14	21820000	32
ENSMUSG00000091091	chr3	32480000	13
ENSMUSG00000031197	chrX	75500000	32
ENSMUSG00000022075	chr14	69800000	32
ENSMUSG00000030806	chr7	127820000	32
ENSMUSG00000044037	chr9	110860000	32
ENSMUSG00000024773	chr19	6240000	32
ENSMUSG00000031691	chr8	85020000	32
ENSMUSG00000047583	chr3	154580000	32
ENSMUSG00000027671	chr3	32700000	32
ENSMUSG00000022724	chr16	59460000	32
ENSMUSG00000026889	chr2	36120000	32
ENSMUSG00000024423	chr18	12960000	32
ENSMUSG00000054499	chr7	25220000	32
ENSMUSG00000002240	chr5	87820000	12
ENSMUSG00000021898	chr14	26880000	28
ENSMUSG00000073386	chr17	48140000	7
ENSMUSG00000074109	chr7	48480000	2
ENSMUSG00000094628	chr14	4720000	20
ENSMUSG00000000439	chr6	115600000	32
ENSMUSG00000039648	chr2	30200000	32
ENSMUSG00000075592	chr14	55840000	31
